Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,             0,            -5,  384.26675415, -6.99940872192,          2000, 0.243844106793, -10.1998510361, 4.04194450378
        0.025,             0,             0, -4.98999977112, 384.266784668, -6.96430397034,          2000, 0.242621168494, -10.1998519897,  4.0337729454
         0.05,             0,             0, -4.98000001907, 384.266815186, -6.92919969559,          2000, 0.241398230195, -10.1998538971, 4.02560138702
        0.075,             0,             0, -4.96999979019, 384.266876221,  -6.894094944,          2000, 0.240175291896, -10.1998548508, 4.01742982864
          0.1,             0,             0, -4.96000003815, 384.266906738, -6.85899066925,          2000, 0.238952353597, -10.1998558044, 4.00925827026
        0.125,             0,             0, -4.94999980927, 384.266937256, -6.82388591766,          2000, 0.237729415298, -10.1998567581, 4.00108623505
         0.15,             0,             0, -4.94000005722, 384.266967773, -6.78878116608,          2000, 0.236506476998, -10.1998586655, 3.99291467667
        0.175,             0,             0, -4.92999982834, 384.266998291, -6.75367689133,          2000, 0.235283538699, -10.1998596191, 3.98474311829
          0.2,             0,             0, -4.92000007629, 384.267028809, -6.71857213974,          2000,  0.2340606004, -10.1998605728, 3.97657132149
        0.225,             0,             0, -4.90999984741, 384.267089844, -6.68346738815,          2000,  0.2328376472, -10.1998615265, 3.96839976311
         0.25,             0,             0, -4.90000009537, 384.267120361, -6.6483631134,          2000,  0.2316147089, -10.1998624802, 3.96022796631
        0.275,             0,             0, -4.88999986649, 384.267150879, -6.61325836182,          2000,  0.2303917557, -10.1998643875, 3.95205616951
          0.3,             0,             0, -4.88000011444, 384.267181396, -6.57815361023,          2000, 0.229168817401, -10.1998653412, 3.94388461113
        0.325,             0,             0, -4.86999988556, 384.267211914, -6.54304885864,          2000, 0.227945864201, -10.1998662949, 3.93571281433
         0.35,             0,             0, -4.86000013351, 384.267242432, -6.50794410706,          2000,   0.226722911, -10.1998672485, 3.92754101753
        0.375,             0,             0, -4.84999990463, 384.267303467, -6.47283935547,          2000,  0.2254999578, -10.1998682022, 3.91936922073
          0.4,             0,             0, -4.84000015259, 384.267333984, -6.43773460388,          2000, 0.224277019501, -10.1998691559, 3.91119742393
        0.425,             0,             0, -4.82999992371, 384.267364502, -6.40262985229,          2000,  0.2230540663, -10.1998701096, 3.90302562714
         0.45,             0,             0, -4.82000017166,  384.26739502, -6.36752510071,          2000,  0.2218311131, -10.1998720169, 3.89485383034
        0.475,             0,             0, -4.80999994278, 384.267425537, -6.33242034912,          2000,  0.2206081599, -10.1998729706, 3.88668203354
          0.5,             0,             0, -4.80000019073, 384.267456055, -6.29731559753,          2000, 0.219385191798, -10.1998739243, 3.87851023674
        0.525,             0,             0, -4.78999996185, 384.267486572, -6.26221084595,          2000, 0.218162238598, -10.1998748779, 3.87033843994
         0.55,             0,             0, -4.78000020981,  384.26751709, -6.22710609436,          2000, 0.216939285398, -10.1998758316, 3.86216664314
        0.575,             0,             0, -4.76999998093, 384.267547607, -6.19200086594,          2000, 0.215716332197, -10.1998767853, 3.85399460793
          0.6,             0,             0, -4.76000022888, 384.267578125, -6.15689611435,          2000, 0.214493364096, -10.199877739, 3.84582281113
        0.625,             0,             0,         -4.75, 384.267608643, -6.12179136276,          2000, 0.213270410895, -10.1998786926, 3.83765101433
         0.65,             0,             0, -4.73999977112, 384.267669678, -6.08668613434,          2000, 0.212047442794, -10.1998796463, 3.82947897911
        0.675,             0,             0, -4.73000001907, 384.267700195, -6.05158138275,          2000, 0.210824489594,   -10.1998806, 3.82130718231
          0.7,             0,             0, -4.71999979019, 384.267730713, -6.01647615433,          2000, 0.209601521492, -10.1998815536, 3.81313514709
        0.725,             0,             0, -4.71000003815,  384.26776123, -5.98137140274,          2000, 0.208378553391, -10.1998825073,  3.8049633503
         0.75,             0,             0, -4.69999980927, 384.267791748, -5.94626665115,          2000, 0.207155585289, -10.199883461, 3.79679131508
        0.775,             0,             0, -4.69000005722, 384.267822266, -5.91116142273,          2000, 0.205932632089, -10.1998853683, 3.78861951828
          0.8,             0,             0, -4.67999982834, 384.267852783, -5.87605619431,          2000, 0.204709663987, -10.199886322, 3.78044748306
        0.825,             0,             0, -4.67000007629, 384.267883301, -5.84095144272,          2000, 0.203486695886, -10.1998872757, 3.77227544785
