Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,             0,            -5, -1265.36437988, -431.869384766,         40000, 8.92633533478, -203.997024536,  93.357711792
        0.025,             0,             0, -4.98999977112, -1265.36474609, -431.170593262,         40000, 8.91189098358, -203.997039795,  93.180557251
         0.05,             0,             0, -4.98000001907, -1265.3651123, -430.471832275,         40000, 8.89744758606, -203.997070312,   93.00340271
        0.075,             0,             0, -4.96999979019, -1265.36535645, -429.773040771,         40000, 8.88300323486, -203.99710083, 92.8262557983
          0.1,             0,             0, -4.96000003815, -1265.36572266, -429.074249268,         40000, 8.86855983734, -203.997116089, 92.6490936279
        0.125,             0,             0, -4.94999980927, -1265.36608887, -428.375457764,         40000, 8.85411548615, -203.997146606, 92.4719390869
         0.15,             0,             0, -4.94000005722, -1265.36645508, -427.67666626,         40000, 8.83967113495, -203.997161865, 92.2947845459
        0.175,             0,             0, -4.92999982834, -1265.36682129, -426.977874756,         40000, 8.82522773743, -203.997192383, 92.1176300049
          0.2,             0,             0, -4.92000007629, -1265.36706543, -426.279083252,         40000, 8.81078338623, -203.997207642, 91.9404754639
        0.225,             0,             0, -4.90999984741, -1265.36743164, -425.580291748,         40000, 8.79633903503, -203.997238159, 91.7633132935
         0.25,             0,             0, -4.90000009537, -1265.36779785, -424.881500244,         40000, 8.78189563751, -203.997253418, 91.5861587524
        0.275,             0,             0, -4.88999986649, -1265.36816406, -424.18270874,         40000, 8.76745128632, -203.997283936,  91.408996582
          0.3,             0,             0, -4.88000011444, -1265.3684082, -423.483917236,         40000, 8.75300693512, -203.997299194,  91.231842041
        0.325,             0,             0, -4.86999988556, -1265.36877441, -422.785125732,         40000,  8.7385635376, -203.997314453, 91.0546798706
         0.35,             0,             0, -4.86000013351, -1265.36914062, -422.086303711,         40000,  8.7241191864, -203.997344971, 90.8775177002
