Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,             0,            -5, 872.349914551, -37.7715034485,          8000, 3.16059589386, -40.7994041443, 16.7111911774
        0.025,             0,             0, -4.98999977112, 872.349914551, -37.6313819885,          8000, 3.14887070656, -40.799407959, 16.6767444611
         0.05,             0,             0, -4.98000001907, 872.349914551, -37.4912567139,          8000, 3.13714551926, -40.7994155884, 16.6422977448
        0.075,             0,             0, -4.96999979019, 872.349914551, -37.3511352539,          8000, 3.12542033195, -40.7994194031, 16.6078491211
          0.1,             0,             0, -4.96000003815, 872.349975586, -37.2110099792,          8000, 3.11369514465, -40.7994232178, 16.5734024048
        0.125,             0,             0, -4.94999980927, 872.349975586, -37.0708847046,          8000, 3.10196995735, -40.7994270325, 16.5389556885
         0.15,             0,             0, -4.94000005722, 872.349975586, -36.9307632446,          8000, 3.09024477005, -40.7994346619, 16.5045070648
        0.175,             0,             0, -4.92999982834, 872.349975586,  -36.79063797,          8000, 3.07851958275, -40.7994384766, 16.4700603485
          0.2,             0,             0, -4.92000007629, 872.350036621,  -36.65051651,          8000, 3.06679439545, -40.7994422913, 16.4356117249
        0.225,             0,             0, -4.90999984741, 872.350036621, -36.5103912354,          8000, 3.05506920815, -40.799446106, 16.4011650085
         0.25,             0,             0, -4.90000009537, 872.350036621, -36.3702659607,          8000, 3.04334402084, -40.7994499207, 16.3667163849
        0.275,             0,             0, -4.88999986649, 872.350036621, -36.2301445007,          8000, 3.03161883354,  -40.79945755, 16.3322696686
          0.3,             0,             0, -4.88000011444, 872.350036621, -36.0900192261,          8000, 3.01989364624, -40.7994613647, 16.2978210449
        0.325,             0,             0, -4.86999988556, 872.350097656, -35.9498939514,          8000, 3.00816845894, -40.7994651794, 16.2633743286
         0.35,             0,             0, -4.86000013351, 872.350097656, -35.8097686768,          8000, 2.99644303322, -40.7994689941,  16.228925705
        0.375,             0,             0, -4.84999990463, 872.350097656, -35.6696472168,          8000, 2.98471784592, -40.7994728088, 16.1944770813
          0.4,             0,             0, -4.84000015259, 872.350097656, -35.5295219421,          8000, 2.97299265862, -40.7994766235,  16.160030365
        0.425,             0,             0, -4.82999992371, 872.350158691, -35.3893966675,          8000, 2.96126747131, -40.7994804382, 16.1255817413
         0.45,             0,             0, -4.82000017166, 872.350158691, -35.2492713928,          8000, 2.94954204559, -40.7994880676, 16.0911331177
        0.475,             0,             0, -4.80999994278, 872.350158691, -35.1091461182,          8000, 2.93781685829, -40.7994918823,  16.056684494
          0.5,             0,             0, -4.80000019073, 872.350158691, -34.9690208435,          8000, 2.92609167099, -40.799495697, 16.0222358704
        0.525,             0,             0, -4.78999996185, 872.350158691, -34.8288955688,          8000, 2.91436624527, -40.7994995117, 15.9877882004
         0.55,             0,             0, -4.78000020981, 872.350219727, -34.6887702942,          8000, 2.90264105797, -40.7995033264, 15.9533395767
        0.575,             0,             0, -4.76999998093, 872.350219727, -34.5486450195,          8000, 2.89091563225, -40.7995071411, 15.9188919067
          0.6,             0,             0, -4.76000022888, 872.350219727, -34.4085197449,          8000, 2.87919044495, -40.7995109558, 15.8844432831
        0.625,             0,             0,         -4.75, 872.350219727, -34.2683944702,          8000, 2.86746501923, -40.7995147705, 15.8499946594
         0.65,             0,             0, -4.73999977112, 872.350219727, -34.1282691956,          8000, 2.85573983192, -40.7995185852, 15.8155460358
        0.675,             0,             0, -4.73000001907, 872.350280762, -33.9881439209,          8000,  2.8440144062, -40.7995223999, 15.7810974121
          0.7,             0,             0, -4.71999979019, 872.350280762, -33.8480186462,          8000,  2.8322892189, -40.7995262146, 15.7466487885
        0.725,             0,             0, -4.71000003815, 872.350280762, -33.7078933716,          8000, 2.82056379318, -40.7995300293, 15.7122001648
         0.75,             0,             0, -4.69999980927, 872.350280762, -33.5677680969,          8000, 2.80883836746, -40.799533844, 15.6777515411
        0.775,             0,             0, -4.69000005722, 872.350280762, -33.4276428223,          8000, 2.79711318016, -40.7995414734, 15.6433019638
          0.8,             0,             0, -4.67999982834, 872.350341797, -33.2875137329,          8000, 2.78538775444, -40.7995452881, 15.6088533401
        0.825,             0,             0, -4.67000007629, 872.350341797, -33.1473884583,          8000, 2.77366232872, -40.7995491028, 15.5744047165
         0.85,             0,             0, -4.65999984741, 872.350341797, -33.0072631836,          8000, 2.76193714142, -40.7995529175, 15.5399551392
        0.875,             0,             0, -4.65000009537, 872.350341797, -32.8671379089,          8000,  2.7502117157, -40.7995567322, 15.5055065155
          0.9,             0,             0, -4.63999986649, 872.350341797, -32.7270088196,          8000, 2.73848628998, -40.7995605469, 15.4710569382
        0.925,             0,             0, -4.63000011444, 872.350402832, -32.5868835449,          8000, 2.72676086426, -40.7995643616, 15.4366083145
         0.95,             0,             0, -4.61999988556, 872.350402832, -32.4467582703,          8000, 2.71503543854, -40.7995681763, 15.4021587372
        0.975,             0,             0, -4.61000013351, 872.350402832, -32.3066291809,          8000, 2.70331025124, -40.799571991, 15.3677091599
            1,             0,             0, -4.59999990463, 872.350402832, -32.1665039062,          8000, 2.69158482552, -40.7995758057, 15.3332605362
        1.025,             0,             0, -4.59000015259, 872.350402832, -32.0263786316,          8000,  2.6798593998, -40.7995796204, 15.2988109589
         1.05,             0,             0, -4.57999992371, 872.350463867, -31.8862514496,          8000, 2.66813397408, -40.7995796204, 15.2643613815
        1.075,             0,             0, -4.57000017166, 872.350463867, -31.7461242676,          8000, 2.65640854836, -40.7995834351, 15.2299118042
          1.1,             0,             0, -4.55999994278, 872.350463867, -31.6059970856,          8000, 2.64468312263, -40.7995872498, 15.1954622269
        1.125,             0,             0, -4.55000019073, 872.350463867, -31.4658699036,          8000, 2.63295769691, -40.7995910645, 15.1610126495
         1.15,             0,             0, -4.53999996185, 872.350463867, -31.3257427216,          8000, 2.62123227119, -40.7995948792, 15.1265630722
        1.175,             0,             0, -4.53000020981, 872.350463867, -31.1856155396,          8000, 2.60950684547, -40.7995986938, 15.0921134949
          1.2,             0,             0, -4.51999998093, 872.350524902, -31.0454883575,          8000, 2.59778141975, -40.7996025085, 15.0576639175
        1.225,             0,             0, -4.51000022888, 872.350524902, -30.9053611755,          8000, 2.58605599403, -40.7996063232, 15.0232143402
         1.25,             0,             0,          -4.5, 872.350524902, -30.7652320862,          8000, 2.57433056831, -40.7996101379, 14.9887647629
        1.275,             0,             0, -4.48999977112, 872.350524902, -30.6251049042,          8000, 2.56260514259, -40.7996139526, 14.9543142319
          1.3,             0,             0, -4.48000001907, 872.350524902, -30.4849777222,          8000, 2.55087947845, -40.7996177673, 14.9198646545
        1.325,             0,             0, -4.46999979019, 872.350524902, -30.3448505402,          8000, 2.53915405273, -40.799621582, 14.8854150772
         1.35,             0,             0, -4.46000003815, 872.350585938, -30.2047214508,          8000, 2.52742862701, -40.7996253967, 14.8509645462
        1.375,             0,             0, -4.44999980927, 872.350585938, -30.0645942688,          8000, 2.51570320129, -40.7996253967, 14.8165149689
          1.4,             0,             0, -4.44000005722, 872.350585938, -29.9244670868,          8000, 2.50397777557, -40.7996292114, 14.7820644379
        1.425,             0,             0, -4.42999982834, 872.350585938, -29.7843379974,          8000, 2.49225211143, -40.7996330261, 14.7476148605
         1.45,             0,             0, -4.42000007629, 872.350585938, -29.6442108154,          8000, 2.48052668571, -40.7996368408, 14.7131643295
        1.475,             0,             0, -4.40999984741, 872.350585938, -29.5040817261,          8000, 2.46880125999, -40.7996406555, 14.6787137985
          1.5,             0,             0, -4.40000009537, 872.350646973, -29.3639545441,          8000, 2.45707559586, -40.7996444702, 14.6442642212
        1.525,             0,             0, -4.38999986649, 872.350646973, -29.2238254547,          8000, 2.44535017014, -40.7996482849, 14.6098136902
         1.55,             0,             0, -4.38000011444, 872.350646973, -29.0836982727,          8000, 2.43362474442, -40.7996482849, 14.5753631592
        1.575,             0,             0, -4.36999988556, 872.350646973, -28.9435691833,          8000, 2.42189908028, -40.7996520996, 14.5409126282
          1.6,             0,             0, -4.36000013351, 872.350646973, -28.803440094,          8000, 2.41017365456, -40.7996559143, 14.5064620972
        1.625,             0,             0, -4.34999990463, 872.350646973, -28.663312912,          8000, 2.39844799042, -40.799659729, 14.4720115662
         1.65,             0,             0, -4.34000015259, 872.350708008, -28.5231838226,          8000,  2.3867225647, -40.7996635437, 14.4375610352
        1.675,             0,             0, -4.32999992371, 872.350708008, -28.3830547333,          8000, 2.37499690056, -40.7996673584, 14.4031105042
          1.7,             0,             0, -4.32000017166, 872.350708008, -28.2429256439,          8000, 2.36327147484, -40.7996673584, 14.3686599731
        1.725,             0,             0, -4.30999994278, 872.350708008, -28.1027965546,          8000,  2.3515458107, -40.7996711731, 14.3342094421
         1.75,             0,             0, -4.30000019073, 872.350708008, -27.9626674652,          8000, 2.33982038498, -40.7996749878, 14.2997589111
        1.775,             0,             0, -4.28999996185, 872.350708008, -27.8225383759,          8000, 2.32809472084, -40.7996788025, 14.2653083801
          1.8,             0,             0, -4.28000020981, 872.350708008, -27.6824111938,          8000, 2.31636929512, -40.7996826172, 14.2308568954
        1.825,             0,             0, -4.26999998093, 872.350769043, -27.5422821045,          8000, 2.30464363098, -40.7996826172, 14.1964063644
         1.85,             0,             0, -4.26000022888, 872.350769043, -27.4021511078,          8000, 2.29291820526, -40.7996864319, 14.1619558334
        1.875,             0,             0,         -4.25, 872.350769043, -27.2620220184,          8000, 2.28119254112, -40.7996902466, 14.1275043488
          1.9,             0,             0, -4.23999977112, 872.350769043, -27.1218929291,          8000, 2.26946687698, -40.7996940613, 14.0930538177
        1.925,             0,             0, -4.23000001907, 872.350769043, -26.9817638397,          8000, 2.25774145126, -40.7996940613, 14.0586023331
         1.95,             0,             0, -4.21999979019, 872.350769043, -26.8416347504,          8000, 2.24601578712, -40.799697876, 14.0241518021
        1.975,             0,             0, -4.21000003815, 872.350769043, -26.701505661,          8000, 2.23429012299, -40.7997016907, 13.9897003174
            2,             0,             0, -4.19999980927, 872.350830078, -26.5613765717,          8000, 2.22256445885, -40.7997055054, 13.9552497864
        2.025,             0,             0, -4.19000005722, 872.350830078, -26.421245575,          8000, 2.21083903313, -40.7997055054, 13.9207983017
         2.05,             0,             0, -4.17999982834, 872.350830078, -26.2811164856,          8000, 2.19911336899, -40.7997093201,  13.886346817
        2.075,             0,             0, -4.17000007629, 872.350830078, -26.1409873962,          8000, 2.18738770485, -40.7997131348, 13.8518953323
          2.1,             0,             0, -4.15999984741, 872.350830078, -26.0008563995,          8000, 2.17566204071, -40.7997169495, 13.8174448013
        2.125,             0,             0, -4.15000009537, 872.350830078, -25.8607273102,          8000, 2.16393637657, -40.7997169495, 13.7829933167
         2.15,             0,             0, -4.13999986649, 872.350830078, -25.7205963135,          8000, 2.15221095085, -40.7997207642,  13.748541832
        2.175,             0,             0, -4.13000011444, 872.350891113, -25.5804672241,          8000, 2.14048528671, -40.7997245789, 13.7140903473
          2.2,             0,             0, -4.11999988556, 872.350891113, -25.4403381348,          8000, 2.12875962257, -40.7997245789, 13.6796388626
        2.225,             0,             0, -4.11000013351, 872.350891113, -25.3002071381,          8000, 2.11703395844, -40.7997283936, 13.6451873779
         2.25,             0,             0, -4.09999990463, 872.350891113, -25.1600761414,          8000,  2.1053082943, -40.7997322083, 13.6107358932
        2.275,             0,             0, -4.09000015259, 872.350891113, -25.019947052,          8000, 2.09358263016, -40.7997360229, 13.5762844086
          2.3,             0,             0, -4.07999992371, 872.350891113, -24.8798160553,          8000, 2.08185696602, -40.7997360229, 13.5418329239
        2.325,             0,             0, -4.07000017166, 872.350891113, -24.7396869659,          8000, 2.07013130188, -40.7997398376, 13.5073804855
         2.35,             0,             0, -4.05999994278, 872.350891113, -24.5995559692,          8000, 2.05840563774, -40.7997436523, 13.4729290009
        2.375,             0,             0, -4.05000019073, 872.350952148, -24.4594249725,          8000,  2.0466799736, -40.7997436523, 13.4384775162
          2.4,             0,             0, -4.03999996185, 872.350952148, -24.3192939758,          8000, 2.03495430946, -40.799747467, 13.4040260315
        2.425,             0,             0, -4.03000020981, 872.350952148, -24.1791648865,          8000, 2.02322864532, -40.7997512817, 13.3695735931
         2.45,             0,             0, -4.01999998093, 872.350952148, -24.0390338898,          8000, 2.01150298119, -40.7997512817, 13.3351221085
        2.475,             0,             0, -4.01000022888, 872.350952148, -23.8989028931,          8000, 1.99977731705, -40.7997550964, 13.3006696701
          2.5,             0,             0,            -4, 872.350952148, -23.7587718964,          8000, 1.98805165291, -40.7997550964, 13.2662181854
        2.525,             0,             0, -3.99000000954, 872.350952148, -23.6186408997,          8000, 1.97632598877, -40.7997589111, 13.2317657471
         2.55,             0,             0, -3.98000001907, 872.350952148, -23.478509903,          8000, 1.96460032463, -40.7997627258, 13.1973142624
        2.575,             0,             0, -3.97000002861, 872.351013184, -23.3383808136,          8000, 1.95287454128, -40.7997627258,  13.162861824
          2.6,             0,             0, -3.96000003815, 872.351013184, -23.1982498169,          8000, 1.94114887714, -40.7997665405, 13.1284103394
        2.625,             0,             0, -3.95000004768, 872.351013184, -23.0581188202,          8000, 1.92942321301, -40.7997703552,  13.093957901
         2.65,             0,             0, -3.94000005722, 872.351013184, -22.9179878235,          8000, 1.91769742966, -40.7997703552, 13.0595054626
        2.675,             0,             0, -3.93000006676, 872.351013184, -22.7778568268,          8000, 1.90597176552, -40.7997741699,  13.025053978
          2.7,             0,             0, -3.92000007629, 872.351013184, -22.6377239227,          8000, 1.89424610138, -40.7997741699, 12.9906015396
        2.725,             0,             0, -3.91000008583, 872.351013184, -22.497592926,          8000, 1.88252031803, -40.7997779846, 12.9561491013
         2.75,             0,             0, -3.90000009537, 872.351013184, -22.3574619293,          8000, 1.87079465389, -40.7997817993, 12.9216966629
        2.775,             0,             0, -3.8900001049, 872.351074219, -22.2173309326,          8000, 1.85906887054, -40.7997817993, 12.8872442245
          2.8,             0,             0, -3.88000011444, 872.351074219, -22.0771999359,          8000, 1.84734320641, -40.799785614, 12.8527917862
        2.825,             0,             0, -3.86999988556, 872.351074219, -21.9370689392,          8000, 1.83561742306, -40.799785614, 12.8183393478
         2.85,             0,             0, -3.8599998951, 872.351074219, -21.7969379425,          8000, 1.82389163971, -40.7997894287, 12.7838869095
