Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -40,             0, 1.52861517222e-07, 1282.66003418,          2000, -44.6848983765, -13.2600002289, -0.198380991817
        0.025,             0, -39.9900016785,             0, 1.52915632157e-07, 1282.66003418,          2000, -44.6848983765, -13.2600002289, -0.198380991817
         0.05,             0, -39.9799995422,             0, 1.52969747091e-07, 1282.66003418,          2000, -44.6848983765, -13.2600002289, -0.198380991817
        0.075,             0, -39.9700012207,             0, 1.53024146243e-07, 1282.66003418,          2000, -44.6848983765, -13.2600002289, -0.198380991817
          0.1,             0, -39.9599990845,             0, 1.53078246967e-07, 1282.66003418,          2000, -44.6848983765, -13.2600002289, -0.198380991817
        0.125,             0, -39.9500007629,             0, 1.53132646119e-07, 1282.66003418,          2000, -44.6848983765, -13.2600002289, -0.198380991817
         0.15,             0, -39.9399986267,             0, 1.53187045271e-07, 1282.66003418,          2000, -44.6848983765, -13.2600002289, -0.198380991817
        0.175,             0, -39.9300003052,             0, 1.53241160206e-07, 1282.66003418,          2000, -44.6848983765, -13.2600002289, -0.198380991817
          0.2,             0, -39.9199981689,             0, 1.53295559358e-07, 1282.66003418,          2000, -44.6848983765, -13.2600002289, -0.198380991817
        0.225,             0, -39.9099998474,             0, 1.53349958509e-07, 1282.66003418,          2000, -44.6848983765, -13.2600002289, -0.198380991817
         0.25,             0, -39.9000015259,             0, 1.53404357661e-07, 1282.66003418,          2000, -44.6848983765, -13.2600002289, -0.198380991817
        0.275,             0, -39.8899993896,             0, 1.53458756813e-07, 1282.66003418,          2000, -44.6848983765, -13.2600002289, -0.198380991817
          0.3,             0, -39.8800010681,             0, 1.53513155965e-07, 1282.66003418,          2000, -44.6848983765, -13.2600002289, -0.198380991817
        0.325,             0, -39.8699989319,             0, 1.53567839334e-07, 1282.66003418,          2000, -44.6848983765, -13.2600002289, -0.198380991817
         0.35,             0, -39.8600006104,             0, 1.53622238486e-07, 1282.66003418,          2000, -44.6848983765, -13.2600002289, -0.198380991817
        0.375,             0, -39.8499984741,             0, 1.53676637638e-07, 1282.66003418,          2000, -44.6848983765, -13.2600002289, -0.198380991817
          0.4,             0, -39.8400001526,             0, 1.53731321006e-07, 1282.66003418,          2000, -44.6848983765, -13.2600002289, -0.198380991817
