Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,             0,            -5, 334.893035889, -142.915313721,         20000,  5.9903626442, -101.998512268, 43.2778511047
        0.025,             0,             0, -4.98999977112, 334.892883301, -142.566207886,         20000, 5.97572946548, -101.998527527,   43.18907547
         0.05,             0,             0, -4.98000001907, 334.892700195, -142.21711731,         20000, 5.96109676361, -101.998535156, 43.1002998352
        0.075,             0,             0, -4.96999979019,  334.89251709, -141.868026733,         20000,  5.9464635849, -101.998550415, 43.0115242004
          0.1,             0,             0, -4.96000003815, 334.892333984, -141.518936157,         20000, 5.93183040619, -101.998558044, 42.9227485657
        0.125,             0,             0, -4.94999980927, 334.892181396, -141.169845581,         20000, 5.91719722748, -101.998573303, 42.8339729309
         0.15,             0,             0, -4.94000005722, 334.891998291, -140.820739746,         20000, 5.90256404877, -101.998580933, 42.7451972961
        0.175,             0,             0, -4.92999982834, 334.891845703, -140.47164917,         20000, 5.88793087006, -101.998596191, 42.6564216614
          0.2,             0,             0, -4.92000007629, 334.891662598, -140.122558594,         20000, 5.87329816818, -101.998603821, 42.5676460266
        0.225,             0,             0, -4.90999984741, 334.891479492, -139.773452759,         20000, 5.85866498947, -101.99861908, 42.4788703918
         0.25,             0,             0, -4.90000009537, 334.891326904, -139.424362183,         20000, 5.84403181076, -101.998626709, 42.3900947571
        0.275,             0,             0, -4.88999986649, 334.891174316, -139.075271606,         20000, 5.82939863205, -101.998641968, 42.3013153076
          0.3,             0,             0, -4.88000011444, 334.890991211, -138.726165771,         20000, 5.81476545334, -101.998649597, 42.2125396729
        0.325,             0,             0, -4.86999988556, 334.890838623, -138.377075195,         20000, 5.80013227463, -101.998664856, 42.1237640381
         0.35,             0,             0, -4.86000013351, 334.890655518, -138.02796936,         20000, 5.78549909592, -101.998672485, 42.0349845886
        0.375,             0,             0, -4.84999990463,  334.89050293, -137.678878784,         20000, 5.77086591721, -101.998680115, 41.9462089539
          0.4,             0,             0, -4.84000015259, 334.890350342, -137.329772949,         20000, 5.75623273849, -101.998695374, 41.8574295044
        0.425,             0,             0, -4.82999992371, 334.890167236, -136.980682373,         20000, 5.74159955978, -101.998703003, 41.7686500549
         0.45,             0,             0, -4.82000017166, 334.890014648, -136.631576538,         20000, 5.72696638107, -101.998718262, 41.6798744202
        0.475,             0,             0, -4.80999994278, 334.889862061, -136.282485962,         20000, 5.71233320236, -101.998725891, 41.5910949707
          0.5,             0,             0, -4.80000019073, 334.889709473, -135.933380127,         20000, 5.69770002365, -101.998733521, 41.5023155212
        0.525,             0,             0, -4.78999996185, 334.889556885, -135.584289551,         20000, 5.68306684494, -101.998748779, 41.4135398865
         0.55,             0,             0, -4.78000020981, 334.889404297, -135.235183716,         20000, 5.66843366623, -101.998756409,  41.324760437
        0.575,             0,             0, -4.76999998093, 334.889251709, -134.886077881,         20000, 5.65380048752, -101.998771667, 41.2359809875
          0.6,             0,             0, -4.76000022888, 334.889099121, -134.536987305,         20000, 5.63916730881, -101.998779297, 41.1472015381
        0.625,             0,             0,         -4.75, 334.888946533, -134.18788147,         20000, 5.62453365326, -101.998786926, 41.0584220886
         0.65,             0,             0, -4.73999977112, 334.888793945, -133.838775635,         20000, 5.60990047455, -101.998802185, 40.9696426392
        0.675,             0,             0, -4.73000001907, 334.888641357,  -133.4896698,         20000, 5.59526729584, -101.998809814, 40.8808631897
          0.7,             0,             0, -4.71999979019,  334.88848877, -133.140579224,         20000, 5.58063411713, -101.998817444, 40.7920837402
        0.725,             0,             0, -4.71000003815, 334.888336182, -132.791473389,         20000, 5.56600093842, -101.998832703, 40.7033042908
         0.75,             0,             0, -4.69999980927, 334.888183594, -132.442367554,         20000, 5.55136728287, -101.998840332, 40.6145210266
        0.775,             0,             0, -4.69000005722, 334.888031006, -132.093261719,         20000, 5.53673410416, -101.998847961, 40.5257415771
          0.8,             0,             0, -4.67999982834, 334.887878418, -131.744155884,         20000, 5.52210092545, -101.998855591, 40.4369621277
        0.825,             0,             0, -4.67000007629, 334.887756348, -131.395065308,         20000, 5.50746774673, -101.99887085, 40.3481788635
         0.85,             0,             0, -4.65999984741,  334.88760376, -131.045959473,         20000, 5.49283409119, -101.998878479, 40.2593994141
